name;url;Company;Company_url;Posted_Time;Posted_Time_url;Alter_Name;Alter_Name_url;Vacancy_Place;Salary;Education_Degree;Vacancy_Time;Vacancy_Id;Skills__name;
Backend Software Engineer;https://busy.az/vacancy/119916/backend-software-engineer;UFAZ;https://busy.az/vacancy/119916/backend-software-engineer;31 gün əvvəl;https://busy.az/vacancy/119916/backend-software-engineer;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);32;software development;
;;;;;;;;;;;;32;English language;
;;;;;;;;;;;;32;TypeScript;
;;;;;;;;;;;;32;programming;
;;;;;;;;;;;;32;proqramlaşdırma;
;;;;;;;;;;;;32;proqram təminatı;
RPA Developer;https://busy.az/vacancy/119914/rpa-developer;Upsystems;https://busy.az/vacancy/119914/rpa-developer;31 gün əvvəl;https://busy.az/vacancy/119914/rpa-developer;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;16.02.2024;Razılaşma yolu ilə;Tam ştat (full time);33;JavaScript;
;;;;;;;;;;;;33;Python;
;;;;;;;;;;;;33;JAVA;
;;;;;;;;;;;;33;SQL;
;;;;;;;;;;;;33;programming;
;;;;;;;;;;;;33;proqramlaşdırma;
;;;;;;;;;;;;33;software development;
;;;;;;;;;;;;33;proqram təminatı;
Junior Front-end Developer;https://busy.az/vacancy/119803/junior-front-end-developer;FS Code;https://busy.az/vacancy/119803/junior-front-end-developer;32 gün əvvəl;https://busy.az/vacancy/119803/junior-front-end-developer;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;15.02.2024;800 - 1100;Tam ştat (full time);34;HTML5;
;;;;;;;;;;;;34;CSS;
;;;;;;;;;;;;34;JavaScript;
;;;;;;;;;;;;34;proqram təminatı;
;;;;;;;;;;;;34;software development;
;;;;;;;;;;;;34;front-end development;
Senior Java Developer;https://busy.az/vacancy/119799/senior-java-developer;Unibank;https://busy.az/vacancy/119799/senior-java-developer;32 gün əvvəl;https://busy.az/vacancy/119799/senior-java-developer;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;15.02.2024;Razılaşma yolu ilə;Tam ştat (full time);35;Oracle;
;;;;;;;;;;;;35;SQL;
;;;;;;;;;;;;35;OOP;
;;;;;;;;;;;;35;JAVA;
;;;;;;;;;;;;35;proqram təminatı;
;;;;;;;;;;;;35;Spring Boot;
